Code,Symbol,Name,Market,Sector
432980.KQ,432980,엠에프씨,KOSDAQ,기초 의약물질 제조업
387570.KQ,387570,파인메딕스,KOSDAQ,의료용 기기 제조업
177900.KQ,177900,쓰리에이로직스,KOSDAQ,반도체 제조업
499790.KS,499790,GS피앤엘,KOSPI,기타 금융업
487360.KQ,487360,신한제14호스팩,KOSDAQ,금융 지원 서비스업
495810.KS,495810,유비씨,KOSPI,소프트웨어 개발 및 공급업
176750.KQ,176750,듀켐바이오,KOSDAQ,의약품 제조업
487720.KQ,487720,키움제10호스팩,KOSDAQ,금융 지원 서비스업
398120.KQ,398120,에스지헬스케어,KOSDAQ,의료용 기기 제조업
476060.KQ,476060,온코닉테라퓨틱스,KOSDAQ,자연과학 및 공학 연구개발업
382150.KQ,382150,온코크로스,KOSDAQ,자연과학 및 공학 연구개발업
457600.KQ,457600,벡트,KOSDAQ,영상 및 음향기기 제조업
484870.KS,484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업
471820.KQ,471820,셀로맥스사이언스,KOSDAQ,기타 식품 제조업
492220.KQ,492220,KB제31호스팩,KOSDAQ,금융 지원 서비스업
489480.KQ,489480,키움제11호스팩,KOSDAQ,금융 지원 서비스업
415640.KS,415640,KB발해인프라,KOSPI,신탁업 및 집합투자업
489730.KQ,489730,디비금융제13호스팩,KOSDAQ,기타 금융업
489210.KQ,489210,교보17호스팩,KOSDAQ,금융 지원 서비스업
482690.KQ,482690,대신밸런스제19호스팩,KOSDAQ,금융 지원 서비스업
459100.KQ,459100,위츠,KOSDAQ,전자부품 제조업
389680.KQ,389680,유디엠텍,KOSDAQ,소프트웨어 개발 및 공급업
474610.KQ,474610,RF시스템즈,KOSDAQ,기타 금속 가공제품 제조업
466410.KQ,466410,사이냅소프트,KOSDAQ,소프트웨어 개발 및 공급업
484130.KQ,484130,하나34호스팩,KOSDAQ,금융 지원 서비스업
475660.KQ,475660,에스켐,KOSDAQ,기타 화학제품 제조업
413390.KQ,413390,엠오티,KOSDAQ,특수 목적용 기계 제조업
487830.KQ,487830,신한제15호스팩,KOSDAQ,금융 지원 서비스업
394800.KQ,394800,쓰리빌리언,KOSDAQ,자연과학 및 공학 연구개발업
464580.KQ,464580,닷밀,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
473980.KQ,473980,노머스,KOSDAQ,창작 및 예술관련 서비스업
163280.KQ,163280,에어레인,KOSDAQ,일반 목적용 기계 제조업
475960.KQ,475960,토모큐브,KOSDAQ,사진장비 및 광학기기 제조업
475560.KS,475560,더본코리아,KOSPI,상품 종합 도매업
376270.KQ,376270,HEM파마,KOSDAQ,자연과학 및 공학 연구개발업
475580.KQ,475580,에이럭스,KOSDAQ,그외 기타 제품 제조업
336680.KQ,336680,탑런토탈솔루션,KOSDAQ,전자부품 제조업
458650.KQ,458650,성우,KOSDAQ,일차전지 및 이차전지 제조업
488060.KQ,488060,유진스팩11호,KOSDAQ,금융 지원 서비스업
476710.KS,476710,타조이엔터테인먼트,KOSPI,창작 및 예술관련 서비스업
466100.KQ,466100,클로봇,KOSDAQ,소프트웨어 개발 및 공급업
044990.KQ,044990,에이치엔에스하이텍,KOSDAQ,전자부품 제조업
289930.KQ,289930,웨이비스,KOSDAQ,반도체 제조업
475400.KQ,475400,씨메스로보틱스,KOSDAQ,특수 목적용 기계 제조업
457370.KQ,457370,한켐,KOSDAQ,기초 화학물질 제조업
474170.KQ,474170,루미르,KOSDAQ,"항공기,우주선 및 부품 제조업"
209640.KQ,209640,와이제이링크,KOSDAQ,특수 목적용 기계 제조업
465480.KQ,465480,인스피언,KOSDAQ,소프트웨어 개발 및 공급업
308430.KQ,308430,셀비온,KOSDAQ,의약품 제조업
381620.KQ,381620,제닉스로보틱스,KOSDAQ,특수 목적용 기계 제조업
351870.KQ,351870,차이커뮤니케이션,KOSDAQ,광고업
489790.KS,489790,한화비전,KOSPI,통신 및 방송 장비 제조업
486630.KQ,486630,KB제30호스팩,KOSDAQ,금융 지원 서비스업
464500.KQ,464500,아이언디바이스,KOSDAQ,반도체 제조업
482680.KQ,482680,미래에셋비전스팩7호,KOSDAQ,금융 지원 서비스업
469750.KQ,469750,아이비젼웍스,KOSDAQ,특수 목적용 기계 제조업
461300.KQ,461300,아이스크림미디어,KOSDAQ,소프트웨어 개발 및 공급업
456070.KQ,456070,이엔셀,KOSDAQ,기초 의약물질 제조업
476080.KQ,476080,M83,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
464280.KQ,464280,티디에스팜,KOSDAQ,의약품 제조업
389650.KQ,389650,넥스트바이오메디컬,KOSDAQ,의료용 기기 제조업
431190.KQ,431190,케이쓰리아이,KOSDAQ,소프트웨어 개발 및 공급업
